,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_force_row_wise,params_learning_rate,params_max_depth,params_n_estimators,params_n_jobs,params_num_leaves,params_random_state,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,6.3343948932288985,2023-12-20 16:11:25.617984,2023-12-20 16:11:37.029308,0 days 00:00:11.411324,gbdt,0.8,True,0.6000000000000001,600,8,-1,128,42,0.7000000000000001,0.15000000000000002,0.9000000000000001,COMPLETE
1,1,6.338797304209203,2023-12-20 16:11:37.030235,2023-12-20 16:11:50.307839,0 days 00:00:13.277604,dart,0.7000000000000001,True,0.25,600,4,-1,144,42,0.30000000000000004,0.15000000000000002,0.7,COMPLETE
2,2,6.329299052396627,2023-12-20 16:11:50.309472,2023-12-20 16:12:11.986746,0 days 00:00:21.677274,gbdt,0.8,True,0.4,200,16,-1,48,42,0.0,0.45,0.7,COMPLETE
3,3,6.334985120693065,2023-12-20 16:12:11.988786,2023-12-20 16:12:28.719964,0 days 00:00:16.731178,gbdt,0.8,True,0.9500000000000001,200,16,-1,16,42,0.45,1.0,0.3,COMPLETE
4,4,6.336466189293264,2023-12-20 16:12:28.721820,2023-12-20 16:12:39.108042,0 days 00:00:10.386222,gbdt,0.7000000000000001,True,0.9500000000000001,400,4,-1,16,42,0.15000000000000002,0.25,0.7,COMPLETE
5,5,6.361240676988978,2023-12-20 16:12:39.109623,2023-12-20 16:13:06.185262,0 days 00:00:27.075639,gbdt,0.4,True,0.9000000000000001,500,20,-1,160,42,0.30000000000000004,0.6000000000000001,0.4,COMPLETE
6,6,6.345893289679049,2023-12-20 16:13:06.187069,2023-12-20 16:13:22.308245,0 days 00:00:16.121176,gbdt,0.4,True,0.4,300,8,-1,144,42,1.0,0.25,0.9000000000000001,COMPLETE
7,7,6.331970967980809,2023-12-20 16:13:22.309681,2023-12-20 16:13:43.414531,0 days 00:00:21.104850,dart,0.6000000000000001,True,0.8500000000000001,200,16,-1,16,42,0.1,0.7000000000000001,0.3,COMPLETE
8,8,6.333513165716913,2023-12-20 16:13:43.416686,2023-12-20 16:14:26.823826,0 days 00:00:43.407140,dart,1.0,True,0.1,500,20,-1,64,42,0.45,0.30000000000000004,0.8,COMPLETE
9,9,6.348029908982409,2023-12-20 16:14:26.825569,2023-12-20 16:14:41.443550,0 days 00:00:14.617981,dart,0.4,True,0.6000000000000001,500,4,-1,128,42,0.1,0.8,0.6000000000000001,COMPLETE
10,10,6.330316290278659,2023-12-20 16:14:41.445349,2023-12-20 16:15:02.593636,0 days 00:00:21.148287,gbdt,1.0,True,0.45,300,12,-1,64,42,0.75,0.45,0.5,COMPLETE
11,11,6.3289510628791925,2023-12-20 16:15:02.595613,2023-12-20 16:15:21.999645,0 days 00:00:19.404032,gbdt,1.0,True,0.4,300,12,-1,64,42,0.75,0.45,0.5,COMPLETE
12,12,6.327070097709683,2023-12-20 16:15:22.001724,2023-12-20 16:15:43.119988,0 days 00:00:21.118264,gbdt,0.9,True,0.25,300,12,-1,64,42,0.75,0.45,0.5,COMPLETE
13,13,6.3532195024978355,2023-12-20 16:15:43.121834,2023-12-20 16:16:10.356508,0 days 00:00:27.234674,gbdt,0.9,True,0.05,300,12,-1,96,42,0.75,0.0,0.5,COMPLETE
14,14,6.3277476620704505,2023-12-20 16:16:10.358191,2023-12-20 16:16:28.842538,0 days 00:00:18.484347,gbdt,1.0,True,0.25,400,8,-1,96,42,0.9,0.55,0.5,COMPLETE
15,15,6.330251698753974,2023-12-20 16:16:28.844261,2023-12-20 16:16:47.545197,0 days 00:00:18.700936,gbdt,0.9,True,0.2,400,8,-1,96,42,1.0,0.6000000000000001,0.4,COMPLETE
16,16,6.330382900132625,2023-12-20 16:16:47.546693,2023-12-20 16:17:05.965823,0 days 00:00:18.419130,gbdt,0.9,True,0.2,400,8,-1,80,42,0.9,0.8500000000000001,0.6000000000000001,COMPLETE
